model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_generation,memory_type,storage_capacity,hard_drive_type,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Lenovo IdeaPad 3 15ITL6 82H8039FIV ,Lenovo,0,0,1.65,8.0,2.5,11.0,4,512 ,1,15.6 ,1920x1080,4,60 ,0,1,1,1777.0,2161.0,1969.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183078,2023,Intel Iris Xe Graphics,2,IdeaPad,802.11ax
  Lenovo IdeaPad Flex 5 14IAU7 82R7009YIV ,Lenovo,0,1,1.5,16.0,4.7,12.0,4,1000 ,1,14 ,1920x1200,2,60 ,1,1,1,4115.0,4990.0,4552.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165588,2022,Integrated Intel Iris Xe Graphics,3,IdeaPad Flex 5,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15ITL6 82H8039GIV ,Lenovo,0,0,1.65,16.0,2.5,11.0,4,512 ,1,15.6 ,1920x1080,4,60 ,0,1,1,2165.0,2295.0,2230.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183080,2023,Intel Iris Xe Graphics,2,IdeaPad,802.11ax
  Lenovo IdeaPad 3 15IAU7 82RK00D5IV ,Lenovo,0,0,1.63,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2299.0,2802.0,2550.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171595,2022,Integrated Intel Iris Xe Graphics,2,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo ThinkPad E15 Gen 4 21E6006SIV ,Lenovo,0,0,1.7,8.0,3.3,12.0,4,256 ,1,15.6 ,1920x1080,2,60 ,0,1,1,2757.0,3086.0,2921.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165465,2022,Integrated Intel UHD Graphics,2,ThinkPad E15,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 17IAU7 82RL004LIV ,Lenovo,0,1,2.04,8.0,3.3,12.0,4,256 ,1,17.3 ,1600x900,1,60 ,0,1,0,2235.0,2470.0,2352.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171582,2022,Integrated Intel UHD Graphics,1,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo ThinkPad E14 Gen 4 21E30088IV ,Lenovo,0,0,1.64,16.0,4.7,12.0,4,512 ,1,14 ,1920x1080,2,60 ,0,1,1,3849.0,4220.0,4034.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161884,2022,Integrated Intel Iris Xe Graphics,3,ThinkPad E14,"WiFi 6, 802.11ax"
model,manufacturer,gaming_adapt,1,,,,,memory_type,storage_capacity,hard_drive_type,screen_size,screen_resolution,screen_type,display_refresh_rate,1,1,1,,,,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Asus Vivobook 15 X1504ZANJ203 ,Asus,0,0,1.7,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1910.0,2387.0,2148.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192671,2023,Intel Iris Xe Graphics,2,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus TUF Gaming F15 FX507ZV4HQ043 ,Asus,1,0,2.2,32.0,3.5,12.0,4,1000 ,1,15.6 ,2560x1440,1,,0,1,0,5399.0,6490.0,5944.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188739,2023,NVIDIA GeForce RTX 4060,3,TUF Gaming F15,"WiFi 6, 802.11ax"
  Asus TUF Gaming F15 FX507ZC4HN105 ,Asus,1,0,2.2,16.0,3.5,12.0,4,512 ,1,15.6 ,1920x1080,1,,0,1,0,3789.0,4490.0,4139.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188735,2023,NVIDIA GeForce RTX 3050 Ti,3,TUF Gaming F15,"WiFi 6, 802.11ax"
  Asus Vivobook 15 X1504ZANJ027 ,Asus,0,0,1.7,8.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1699.0,2590.0,2144.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192666,2023,Intel UHD Graphics,2,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus TUF Dash F15 FX517ZCHN111 ,Asus,1,0,2.0,16.0,3.5,12.0,5,1000 ,1,15.6 ,לא זמין,1,,0,1,0,3650.0,5190.0,4420.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1176395,2022,Intel Iris Xe Graphics,3,TUF Dash F15,802.11ax
  Asus W202NAGJ0062R ,Asus,0,1,1.2,4.0,1.1,3.0,3,64 ,2,11.6 ,1366x768,1,60 ,0,1,1,809.0,1250.0,1029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1110088,2021,לא זמין,0,לא רלוונטי,802.11ac
  Asus Vivobook 15 X1504ZANJ205 ,Asus,0,0,1.7,16.0,3.5,12.0,4,1000 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2375.0,2825.0,2600.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192673,2023,Intel Iris Xe Graphics,3,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus VivoBook 15 X1504ZANJ031 ,Asus,0,0,1.7,8.0,3.3,12.0,4,256 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1759.0,2138.0,1948.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192665,2023,Intel UHD Graphics,2,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Vivobook 15 X1504ZANJ197W ,Asus,0,1,1.7,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2567.0,2979.0,2773.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192675,2023,Intel Iris Xe Graphics,2,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Zenbook 14 OLED UX3402VAKM063W ,Asus,0,1,1.39,16.0,3.7,13.0,5,1000 ,1,14 ,2880X1800,3,90 ,0,1,1,5689.0,6239.0,5964.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1184775,2023,Intel Iris Xe Graphics,3,ZenBook 14,"WiFi 6E, 802.11ax"
  Asus TUF Gaming F15 FX507ZC4HN073W ,Asus,1,1,2.2,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,,0,0,0,3794.0,4699.0,4246.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188762,2023,NVIDIA GeForce RTX 3050,2,TUF Gaming F15,"WiFi 6, 802.11ax"
  Asus VivoBook 17 X1704VAAU054 ,Asus,0,0,2.1,16.0,3.7,13.0,4,1000 ,1,17.3 ,1920x1080,1,60 ,0,1,0,3421.0,4080.0,3750.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192679,2023,Intel Iris Xe Graphics,3,VivoBook 17,WiFi 6E
  Asus X1500EAEJ2658 ,Asus,0,0,1.8,16.0,2.4,11.0,4,1000 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1980.0,2565.0,2272.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179969,2023,Intel Iris Xe Graphics,2,לא רלוונטי,802.11ac
  Asus Zenbook 14 OLED UX3402VAKP147W ,Asus,0,1,1.35,16.0,3.4,13.0,5,512 ,1,14 ,2560x1600,1,60 ,0,1,1,4219.0,4990.0,4604.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188142,2023,Intel Iris Xe Graphics,2,Zenbook 14 OLED,"WiFi 6E, 802.11ax"
  Asus Vivobook S 14 Flip OLED TP3402VAKN058W ,Asus,0,1,1.5,16.0,3.7,13.0,,1000 ,1,14 ,2880X1800,3,60 ,1,1,0,4627.0,5432.0,5029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193764,2023,Intel Iris Xe Graphics,3,Vivobook S 14 Flip,"WiFi 6, 802.11ax"
  Asus VivoBook 14 X1404ZANK114 ,Asus,0,0,1.4,8.0,3.3,12.0,4,512 ,1,14 ,1920x1080,1,60 ,0,1,0,1699.0,2065.0,1882.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1186818,2023,Intel UHD Graphics,1,VivoBook 14,"WiFi 6E, 802.11ax"
  Asus VivoBook 15 X1504VABQ149 ,Asus,0,0,1.7,16.0,3.7,13.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,1,2987.0,3490.0,3238.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1191538,2023,Intel Iris Xe Graphics,3,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Zenbook 14X OLED UM5401QAL7192W ,Asus,0,1,1.4,16.0,4.2,4.0,4,512 ,1,14 ,2880X1800,3,60 ,0,1,1,3579.0,5137.0,4358.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1162877,2022,AMD Radeon  Graphics,0,ZenBook 14X,"WiFi 6, 802.11ax"
  Asus Zenbook S13 OLED UX5304VANQ003 ,Asus,0,0,,16.0,3.7,13.0,5,1000 ,1,13.3 ,2880X1800,3,60 ,0,1,1,5295.0,6388.0,5841.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192565,2023,Intel Iris Xe Graphics,3,Zenbook S13,"WiFi 6E, 802.11ax"
  Asus Vivobook S 14 Flip OLED TP3402VAKN057 ,Asus,0,0,1.5,8.0,3.7,13.0,4,1000 ,1,14 ,2880X1800,3,90 ,1,1,0,4078.0,7281.0,5679.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193875,2023,Intel Iris Xe Graphics,3,Vivobook S14 Flip,"WiFi 6E, 802.11ax"
  Asus TUF Gaming F15 FX507ZC4HN073 ,Asus,1,0,2.6,16.0,3.3,12.0,5,512 ,1,15.6 ,1920x1080,1,144 ,0,1,0,3426.0,4025.0,3725.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1187677,2023,NVIDIA GeForce RTX 3050,2,TUF Gaming F15,WiFi 6
  Asus ZenBook 14 UX3402ZAKM164W ,Asus,0,1,1.39,8.0,3.3,12.0,5,512 ,1,14 ,2880X1800,3,60 ,0,1,1,3678.0,4562.0,4120.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1155948,2022,Intel Iris Xe Graphics,2,ZenBook 14,"WiFi 6, 802.11ax"
  Asus TUF Gaming F15 FX516PCHN558W ,Asus,1,1,2.0,8.0,3.1,11.0,4,512 ,1,15.6 ,1920x1080,1,144 ,0,0,0,3150.0,4244.0,3697.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1149028,2022,NVIDIA GeForce RTX 3050,2,TUF Gaming F15,"WiFi 6, 802.11ax"
  HP 250 G9 6F1Z7EA,HP,0,0,1.74,8.0,3.3,12.0,4,256 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1359.0,2238.0,1798.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173511,2022,Integrated Intel Iris Xe Graphics,1,250 G9,"802.11b, 802.11a, 802.11n, 802.11ac"
  HP 250 G9 6F1Z9EA,HP,0,0,1.74,8.0,3.3,12.0,4,256 ,1,15.6 ,1920x1080,2,60 ,0,1,0,1708.0,2153.0,1930.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173514,2022,Intel Iris Xe Graphics,2,250 G9,"802.11g, 802.11b, 802.11a, 802.11n, 802.11ac"
  HP 15sfq5031nj 7C472EA,HP,0,0,1.69,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2195.0,2926.0,2560.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1181952,2023,Intel Iris Xe Graphics,2,לא רלוונטי,"802.11g, 802.11b, 802.11a, 802.11n, 802.11ac"
  HP 250 G9 6S6V0EA,HP,0,0,1.74,8.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1879.0,3023.0,2451.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173516,2022,Intel Iris Xe Graphics,2,250 G9,WiFi 6
  HP 14sdq5013nj 7C455EA,HP,0,0,1.46,16.0,4.7,12.0,4,512 ,1,14 ,1920x1080,1,60 ,0,1,0,2850.0,3390.0,3120.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178614,2022,Intel Iris Xe Graphics,3,לא רלוונטי,WiFi 6
  HP 250 G9 6S6V5EA,HP,0,0,1.74,16.0,3.4,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2754.0,3563.0,3158.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178877,2022,Intel Iris Xe Graphics,3,250 G9,WiFi 6
  HP 250 G9 6F217EA,HP,0,1,1.74,16.0,4.7,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,3129.0,4449.0,3789.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178878,2022,Intel Iris Xe Graphics,3,250 G9,"802.11g, 802.11b, 802.11a, 802.11n, 802.11ac"
  HP 250 G9 6S6V4EA,HP,0,0,1.74,8.0,4.7,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2399.0,3295.0,2847.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173517,2022,Integrated Intel Iris Xe Graphics,3,250 G9,WiFi 6
  HP 14sdq5015nj 7C424EA,HP,0,1,1.46,8.0,4.7,12.0,4,512 ,1,14 ,1920x1080,1,60 ,0,1,0,3100.0,3916.0,3508.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1182264,2023,Intel Iris Xe Graphics,3,לא רלוונטי,"802.11g, 802.11b, 802.11a, 802.11n, 802.11ac"
  ZBook Studio G9 62U06EA HP,HP,0,1,1.73,16.0,3.5,12.0,5,512 ,1,16 ,1920x1200,2,60 ,1,1,1,7232.0,9990.0,8611.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172577,2022,Intel Iris Xe Graphics,3,ZBook Studio G9,WiFi 6
  HP ProBook 440 G10 725J1EA,HP,0,0,1.38,16.0,3.7,13.0,4,512 ,1,14 ,1920x1080,2,60 ,0,1,1,3533.0,4128.0,3830.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192304,2023,Intel Iris Xe Graphics,3,ProBook 440 G10,"802.11g, 802.11b, 802.11a, 802.11n, WiFi 6E, 802.11ax"
  EliteBook 630 G9 6A2H0EA HP,HP,0,0,1.28,8.0,3.5,12.0,4,512 ,1,13.3 ,1920x1080,2,60 ,0,1,1,3130.0,3738.0,3434.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1190974,2023,Intel Iris Xe Graphics,3,EliteBook 630 G9,WiFi 6E
  HP 250 G9 6S6S9EA,HP,0,1,1.74,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2717.0,3550.0,3133.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178876,2022,Intel Iris Xe Graphics,2,250 G9,WiFi 6
  HP ProBook 440 G9 6A2H5EA,HP,0,0,1.38,8.0,4.7,12.0,4,512 ,1,14 ,1920x1080,2,60 ,0,1,1,2890.0,3808.0,3349.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171169,2022,Intel Iris Xe Graphics,3,ProBook 440 G9,WiFi 6
  HP 14sdq5011nj 7C454EA,HP,0,0,1.46,16.0,4.4,12.0,4,1000 ,1,14 ,1920x1080,2,60 ,0,1,1,2687.0,3147.0,2917.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183108,2023,Intel Iris X Graphics,2,לא זמין,כולל
  HP ProBook 440 G10 725G2EA,HP,0,0,1.38,16.0,3.4,13.0,4,512 ,1,14 ,1920x1080,2,60 ,0,1,1,2947.0,3439.0,3193.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192652,2023,Intel Iris Xe Graphics,2,ProBook 440 G10,"802.11g, 802.11b, 802.11a, 802.11n, WiFi 6E, 802.11ax"
  HP 250 G9 724K5EA,HP,0,0,1.74,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,1,2169.0,2690.0,2429.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178874,2022,Intel Iris Xe Graphics,2,250 G9,כולל
  HP EliteBook 860 G9 6T1R1EA,HP,0,1,1.76,16.0,4.7,12.0,5,1000 ,1,16 ,1920x1200,2,60 ,1,1,1,6152.0,7349.0,6750.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1177637,2022,Intel Iris Xe Graphics,3,EliteBook 860 G9,WiFi 6
  HP EliteBook 630 G10 725H5EA,HP,0,0,1.22,16.0,3.7,13.0,4,512 ,1,13.3 ,1920x1080,2,60 ,0,1,0,3676.0,3882.0,3779.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1196467,2023,Intel UHD Graphics,3,EliteBook 630 G10,WiFi 6E
  HP 250 G10 725C4EA,HP,0,0,1.52,8.0,3.3,13.0,4,256 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1768.0,1991.0,1879.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193737,2023,לא זמין,1,HP 250 G10,WiFi 6
  HP Victus Gaming 15fa1021nj 800J6EA,HP,1,0,2.29,16.0,3.4,13.0,,1000 ,1,15.6 ,1920x1080,2,144 ,0,0,0,4503.0,5260.0,4881.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188444,2023,NVIDIA GeForce RTX 3050,2,Victus Gaming,WiFi 6
  HP Pavilion 14dv0012nj 4A4X1EA,HP,0,1,1.41,8.0,2.0,11.0,4,256 ,1,14 ,1920x1080,2,60 ,0,1,0,2371.0,3203.0,2787.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1187803,2023,Intel UHD Graphics,1,Pavilion,WiFi 6E
  HP ProBook 450 G10 725J5EA,HP,0,1,1.79,8.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,2,60 ,0,1,1,3458.0,4032.0,3745.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192303,2023,Intel Iris X Graphics,2,ProBook 450 G10,WiFi 6E
  HP ProBook 450 G10 816A0EA,HP,0,0,1.79,16.0,3.7,13.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,1,3640.0,4054.0,3847.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192302,2023,Intel Iris X Graphics,3,ProBook 450 G10,WiFi 6E
  Apple MacBook Air 13 MGN63HBA MGN93HBA MGND3HBA ,Apple,0,1,1.29,8.0,,,,256 ,1,13.3 ,2560x1600,1,60 ,0,1,1,3459.0,4573.0,4016.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1099482,2021,7-Core GPU,4,MacBook Air,"WiFi 6, 802.11ax"
  Apple MacBook Air 13 MLXW3HBA MLXY3HBA MLY13HBA MLY33HBA ,Apple,0,1,1.24,8.0,,,,256 ,1,13.6 ,2560x1600,4,60 ,0,1,1,4699.0,5515.0,5107.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166593,2022,לא זמין,5,MacBook Air 13,כולל
  Apple MacBook Pro 13 M2 MNEH3HBA MNEP3HBA ,Apple,0,1,1.4,8.0,,,,256 ,1,13.3 ,2560x1600,4,60 ,0,1,1,4850.0,5909.0,5379.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161874,2022,לא זמין,5,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
  Apple MacBook Pro 16 MK183HBA MK1E3HBA ,Apple,0,1,2.1,16.0,,,,512 ,1,16 ,3456X2234,1,,0,1,1,7450.0,9889.0,8669.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1137777,2022,לא זמין,4,MacBook Pro,"WiFi 6, 802.11ax"
  Apple MacBook Air 15 M2 MQKP3HBA MQKR3HBA MQKU3HBA MQKW3HBA ,Apple,0,1,1.51,8.0,,,,256 ,1,15.3 ,2880X1864,4,60 ,0,1,1,5749.0,6041.0,5895.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1197675,2023,10-Core GPU,5,MacBook Air 15 M2,"WiFi 6, 802.11ax"
  Apple MacBook Air 13 MLXX3HBA MLY03HBA MLY23HBA MLY43HBA ,Apple,0,1,1.24,8.0,,,,512 ,1,13.6 ,2560X1664,1,60 ,0,1,1,5941.0,6911.0,6426.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166902,2022,לא זמין,5,MacBook Air 13,"WiFi 6, 802.11ax"
  Apple MacBook Air 13 Z15S000TA Z15W000RD Z15Y000RC Z160000RC ,Apple,0,1,1.24,16.0,,,,512 ,1,13.3 ,2560x1600,4,60 ,0,1,1,6537.0,7279.0,6908.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1167808,2022,לא זמין,5,MacBook Air 13,כולל
